width,angle_in_degrees
4,73.7
5,84.7
6,73.7
7,34.9
8,37.7
9,27.0
10,40.0
11,47.1
12,51.6
13,34.7
14,44.8
15,24.8
16,26.1
17,25.9
18,44.6
19,29.5
20,33.8
21,46.2
22,39.8
23,33.5
24,27.0
25,26.4
26,44.3
27,42.1
28,41.9
29,39.3
30,48.2
31,39.9
32,28.3
33,33.6
34,39.7
35,25.2
36,36.0
37,36.6
38,38.9
39,32.4
40,38.3
41,28.0
42,37.2
43,39.3
44,32.6
45,34.2
46,37.3
47,31.8
48,26.3
49,31.1
50,36.9
51,39.5
52,31.7
53,33.4
54,38.9
55,41.1
56,34.2
57,36.3
58,42.6
59,32.3
60,31.6
61,29.7
62,42.3
63,35.5
64,28.1
65,29.5
66,35.3
67,41.2
68,37.4
69,42.2
70,34.6
71,31.5
72,30.5
73,33.7
74,32.8
75,29.2
76,32.9
77,32.4
78,46.2
79,28.6
80,35.4
81,30.3
82,35.7
83,29.4
84,34.6
85,26.2
86,34.7
87,28.2
88,28.7
89,34.6
90,37.2
91,35.7
92,39.7
93,39.6
94,34.2
95,37.3
96,36.8
97,36.0
98,34.5
99,31.6
100,29.8
101,30.1
102,34.1
103,31.6
104,30.8
105,29.5
106,30.8
107,29.5
108,29.3
109,28.6
110,34.8
111,35.7
112,35.4
113,34.4
114,37.0
115,34.9
116,33.1
117,32.7
118,35.8
119,33.5
120,30.9
121,32.3
122,32.3
123,31.5
124,31.0
125,34.5
126,39.9
127,34.6
128,36.1
129,32.5
130,42.5
131,30.3
132,32.7
133,36.2
134,34.5
135,32.5
136,35.1
137,37.3
138,34.2
139,32.7
140,35.0
141,34.1
142,37.9
143,36.6
144,39.3
145,34.9
146,34.6
147,33.3
148,37.1
149,33.3
150,35.8
151,30.4
152,31.7
153,34.7
154,31.5
155,33.6
156,33.8
157,33.2
158,33.3
159,32.5
160,33.7
161,31.6
162,35.0
163,34.8
164,32.0
165,35.9
166,37.6
167,32.9
168,34.5
169,34.4
170,35.0
171,34.6
172,31.6
173,33.3
174,40.5
175,33.9
176,30.7
177,31.1
178,32.6
179,32.8
180,33.0
181,35.3
182,34.2
183,36.8
184,35.4
185,33.4
186,31.3
187,36.8
188,32.9
189,34.3
190,28.3
191,30.8
192,32.9
193,33.5
194,33.7
195,34.7
196,32.0
197,31.6
198,32.0
199,30.5
