width,angle_in_degrees
4,43.8
5,48.2
6,57.9
7,28.2
8,29.2
9,23.6
10,26.6
11,47.1
12,48.8
13,53.0
14,63.1
15,30.6
16,30.0
17,25.9
18,37.7
19,26.8
20,31.3
21,30.2
22,36.8
23,26.7
24,32.9
25,31.2
26,41.3
27,36.2
28,41.9
29,35.6
30,56.6
31,27.3
32,30.0
33,26.3
34,30.0
35,34.3
36,34.4
37,33.5
38,37.2
39,27.0
40,27.8
41,25.5
42,46.2
43,28.4
44,29.5
45,31.6
46,46.6
47,26.4
48,30.0
49,30.2
50,31.2
51,36.9
52,41.3
53,32.7
54,36.9
55,35.9
56,36.2
57,31.9
58,37.4
59,32.9
60,33.5
61,35.7
62,38.8
63,32.1
64,34.6
65,29.5
66,34.4
67,36.8
68,32.0
69,34.8
70,37.4
71,33.6
72,35.7
73,33.7
74,35.8
75,29.6
76,31.5
77,32.1
78,39.4
79,31.3
80,31.1
81,32.2
82,30.5
83,34.6
84,29.0
85,32.6
86,29.5
87,29.7
88,34.8
89,28.8
90,36.1
91,40.2
92,38.2
93,36.4
94,33.0
95,34.0
96,35.2
97,31.5
98,27.2
99,28.0
100,32.6
101,30.2
102,34.6
103,32.3
104,33.3
105,31.0
106,29.8
107,36.7
108,35.8
109,34.3
110,42.2
111,32.9
112,35.0
113,33.0
114,40.3
115,34.4
116,31.5
117,33.0
118,34.4
119,29.0
120,34.0
121,27.6
122,29.8
123,34.3
124,33.2
125,37.9
126,37.9
127,30.7
128,35.6
129,34.5
130,36.6
131,33.2
132,36.0
133,33.1
134,33.3
135,33.8
136,31.2
137,30.8
138,37.7
139,34.0
140,33.4
141,34.0
142,36.3
143,33.0
144,33.2
145,35.3
146,37.4
147,31.8
148,32.1
149,34.2
150,34.4
151,34.0
152,32.7
153,33.0
154,35.3
155,30.9
156,29.2
157,31.5
158,33.0
159,40.1
160,36.0
161,39.2
162,33.9
163,36.0
164,32.7
165,32.9
166,30.9
167,37.2
168,41.5
169,32.8
170,36.9
171,37.0
172,35.5
173,38.0
174,34.9
175,33.4
176,33.5
177,33.6
178,32.9
179,35.1
180,37.8
181,37.0
182,30.8
183,32.2
184,32.6
185,33.6
186,31.5
187,34.1
188,32.8
189,30.8
190,31.5
191,31.9
192,32.4
193,29.8
194,35.1
195,32.5
196,31.9
197,33.2
198,35.0
199,31.5
