width,angle_in_degrees
4,61.5
5,84.7
6,57.9
7,49.2
8,56.3
9,53.6
10,59.3
11,34.1
12,36.0
13,50.3
14,46.9
15,24.8
16,28.3
17,43.4
18,40.2
19,34.6
20,21.5
21,32.4
22,31.8
23,30.7
24,34.4
25,31.2
26,23.9
27,24.3
28,23.6
29,23.9
30,20.6
31,30.3
32,30.0
33,39.8
34,20.7
35,22.6
36,31.2
37,24.1
38,28.5
39,22.9
40,24.5
41,24.3
42,24.2
43,28.7
44,26.1
45,24.0
46,26.4
47,24.4
48,24.6
49,22.8
50,23.6
51,24.1
52,29.4
53,23.6
54,23.1
55,28.5
56,28.4
57,25.1
58,27.6
59,21.4
60,22.3
61,25.2
62,31.0
63,24.5
64,26.4
65,23.7
66,26.0
67,21.1
68,23.7
69,24.0
70,25.4
71,26.4
72,27.4
73,25.6
74,24.6
75,22.4
76,22.6
77,25.5
78,28.8
79,22.2
80,21.7
81,25.6
82,22.9
83,23.0
84,24.6
85,18.9
86,21.9
87,24.7
88,28.3
89,27.2
90,21.4
91,25.3
92,24.3
93,24.0
94,26.0
95,24.5
96,23.7
97,22.2
98,23.0
99,20.9
100,20.2
101,21.8
102,22.9
103,22.5
104,23.1
105,23.7
106,22.0
107,23.2
108,22.8
109,23.7
110,23.5
111,20.4
112,24.5
113,22.6
114,22.6
115,23.2
116,23.5
117,22.8
118,23.4
119,23.2
120,22.1
121,22.0
122,23.9
123,23.6
124,22.8
125,26.1
126,29.3
127,24.4
128,21.9
129,22.9
130,22.2
131,23.2
132,22.6
133,22.3
134,23.6
135,24.0
136,22.7
137,26.3
138,21.8
139,23.7
140,21.4
141,23.8
142,22.3
143,21.2
144,21.0
145,22.5
146,23.4
147,24.1
148,23.7
149,23.2
150,21.8
151,23.8
152,23.1
153,22.6
154,22.8
155,23.4
156,22.8
157,21.9
158,22.7
159,21.1
160,23.9
161,22.1
162,24.6
163,24.3
164,23.3
165,23.9
166,19.7
167,24.5
168,26.1
169,26.7
170,23.6
171,21.6
172,20.2
173,19.2
174,24.5
175,23.9
176,22.4
177,25.3
178,25.8
179,22.8
180,25.5
181,23.4
182,21.7
183,24.3
184,22.8
185,24.8
186,26.7
187,21.1
188,23.2
189,21.9
190,24.6
191,23.9
192,24.2
193,23.4
194,23.1
195,24.1
196,21.4
197,23.1
198,23.9
199,23.0
