width,angle_in_degrees
4,73.7
5,55.3
6,65.3
7,28.2
8,35.2
9,35.5
10,35.7
11,44.4
12,36.0
13,27.7
14,30.2
15,39.2
16,34.0
17,35.3
18,27.7
19,27.5
20,21.9
21,23.1
22,24.0
23,27.7
24,27.5
25,26.9
26,24.7
27,27.0
28,28.7
29,26.4
30,21.9
31,28.5
32,37.7
33,37.7
34,26.9
35,21.9
36,23.6
37,25.7
38,25.4
39,25.3
40,26.6
41,23.6
42,28.5
43,25.1
44,21.0
45,22.8
46,23.6
47,24.4
48,23.6
49,27.2
50,19.6
51,26.4
52,27.4
53,26.2
54,29.9
55,23.7
56,23.6
57,24.4
58,26.6
59,25.8
60,25.2
61,24.2
62,26.9
63,25.8
64,25.1
65,26.0
66,20.6
67,25.3
68,23.3
69,24.7
70,24.4
71,24.5
72,26.7
73,25.0
74,20.4
75,22.2
76,23.9
77,22.4
78,27.7
79,24.2
80,22.9
81,23.6
82,23.0
83,19.1
84,19.9
85,21.0
86,20.0
87,26.2
88,27.7
89,23.8
90,23.1
91,25.2
92,22.5
93,22.8
94,26.4
95,20.7
96,20.8
97,20.1
98,22.6
99,21.3
100,23.4
101,21.5
102,21.7
103,23.1
104,23.0
105,22.4
106,24.7
107,20.8
108,22.1
109,21.7
110,25.3
111,24.0
112,25.6
113,23.6
114,24.8
115,23.3
116,23.6
117,24.9
118,22.6
119,21.4
120,21.1
121,21.5
122,25.2
123,24.7
124,23.0
125,23.1
126,24.2
127,20.4
128,21.3
129,22.1
130,21.6
131,22.8
132,23.0
133,25.0
134,23.9
135,22.6
136,23.4
137,20.7
138,21.7
139,22.2
140,22.0
141,23.1
142,23.0
143,21.8
144,22.2
145,22.1
146,24.4
147,22.5
148,21.3
149,21.8
150,23.0
151,23.0
152,22.4
153,22.2
154,25.6
155,21.3
156,23.9
157,21.1
158,22.5
159,21.6
160,21.2
161,23.0
162,25.6
163,24.5
164,24.0
165,24.7
166,20.6
167,23.8
168,24.2
169,24.0
170,20.7
171,20.3
172,21.7
173,21.8
174,22.6
175,22.6
176,23.2
177,22.9
178,25.6
179,22.5
180,24.0
181,25.1
182,24.0
183,23.1
184,23.6
185,23.0
186,23.5
187,22.8
188,22.8
189,22.6
190,24.6
191,22.9
192,22.7
193,22.6
194,23.3
195,21.9
196,24.6
197,23.1
198,22.9
199,23.2
